Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Running Time,License
Avatar,2009,Twentieth Century Fox,237000000,77025481,785221649,2138484377,2923706026,2 hr 42 min,PG-13
Avengers: Endgame,2019,Walt Disney Studios Motion Pictures,356000000,357115007,858373000,1941066100,2799439100,3 hr 1 min,PG-13
Avatar: The Way of Water,2022,20th Century Studios,December 14 2022 (EMEA APAC),134100226,684075767,1636174514,2320250281,3 hr 1 min,PG-13
Titanic,1997,Paramount Pictures,200000000,28638131,674292608,1590450697,2264743305,3 hr 14 min,PG-13
Star Wars: Episode VII - The Force Awakens,2015,Walt Disney Studios Motion Pictures,245000000,247966675,936662225,1134647993,2071310218,2 hr 18 min,PG-13
Avengers: Infinity War,2018,Walt Disney Studios Motion Pictures,April 25 2018 (APAC EMEA),257698183,678815482,1373599557,2052415039,2 hr 18 min,PG-13
Spider-Man: No Way Home,2021,Sony Pictures Entertainment (SPE),December 15 2021 (14 markets),260138569,814115070,1107732041,1921847111,2 hr 18 min,PG-13
Jurassic World,2015,Universal Pictures,150000000,208806270,653406625,1018130819,1671537444,2 hr 4 min,PG-13
The Lion King,2019,Walt Disney Studios Motion Pictures,260000000,191770759,543638043,1119437358,1663075401,1 hr 58 min,PG
The Avengers,2012,Walt Disney Studios Motion Pictures,220000000,207438708,623357910,897180626,1520538536,2 hr 23 min,PG-13
Furious 7,2015,Universal Pictures,190000000,147187040,353007020,1162334379,1515341399,2 hr 17 min,PG-13
Top Gun: Maverick,2022,Paramount Pictures,May 20 2022 (Iceland),126707459,718732821,776963471,1495696292,2 hr 17 min,PG-13
Frozen II,2019,Walt Disney Studios Motion Pictures,150000000,130263358,477373578,976309898,1453683476,1 hr 43 min,PG
Barbie,2023,Warner Bros.,July 19 2023 (EMEA APAC),162022044,630450087,797000000,1427450087,1 hr 43 min,PG
Avengers: Age of Ultron,2015,Walt Disney Studios Motion Pictures,250000000,191271109,459005868,946012180,1405018048,2 hr 21 min,PG-13
The Super Mario Bros. Movie,2023,Universal Pictures,April 5 2023 (18 markets),146361865,574934330,785829724,1360764054,2 hr 21 min,PG-13
Black Panther,2018,Walt Disney Studios Motion Pictures,February 13 2018 (EMEA APAC),202003951,700426566,649499517,1349926083,2 hr 21 min,PG-13
Harry Potter and the Deathly Hallows: Part 2,2011,Warner Bros.,July 13 2011 (EMEA APAC),169189427,381447587,960912354,1342359942,2 hr 21 min,PG-13
Star Wars: Episode VIII - The Last Jedi,2017,Walt Disney Studios Motion Pictures,317000000,220009584,620181382,714226324,1334407706,2 hr 32 min,PG-13
Jurassic World: Fallen Kingdom,2018,Universal Pictures,170000000,148024610,417719760,892746536,1310466296,2 hr 8 min,PG-13
Frozen,2013,Walt Disney Studios Motion Pictures,150000000,243390,400953009,883587509,1284540518,1 hr 42 min,PG
Beauty and the Beast,2017,Walt Disney Studios Motion Pictures,160000000,174750616,504481165,761634799,1266115964,2 hr 9 min,PG
Incredibles 2,2018,Walt Disney Studios Motion Pictures,June 14 2018 (16 markets),182687905,608581744,634643923,1243225667,2 hr 9 min,PG
The Fate of the Furious,2017,Universal Pictures,250000000,98786705,226008385,1009996733,1236005118,2 hr 16 min,PG-13
Iron Man 3,2013,Walt Disney Studios Motion Pictures,200000000,174144585,409013994,806563211,1215577205,2 hr 10 min,PG-13
Minions,2015,Universal Pictures,74000000,115718405,336045770,823398892,1159444662,1 hr 31 min,PG
Captain America: Civil War,2016,Walt Disney Studios Motion Pictures,250000000,179139142,408084349,746962067,1155046416,2 hr 27 min,PG-13
Aquaman,2018,Warner Bros.,December 7 2018 (China),67873522,335104314,813424079,1148528393,2 hr 27 min,PG-13
The Lord of the Rings: The Return of the King,2003,New Line Cinema,94000000,72629713,379427292,768206541,1147633833,3 hr 21 min,PG-13
Skyfall,2012,Sony Pictures Entertainment (SPE),200000000,88364714,304360277,838111018,1142471295,2 hr 23 min,PG-13
Spider-Man: Far from Home,2019,Sony Pictures Entertainment (SPE),160000000,92579212,390532085,741395911,1131927996,2 hr 9 min,PG-13
Captain Marvel,2019,Walt Disney Studios Motion Pictures,160000000,153433423,426829839,704586607,1131416446,2 hr 3 min,PG-13
Transformers: Dark of the Moon,2011,DreamWorks,195000000,97852865,352390543,771403536,1123794079,2 hr 34 min,PG-13
Jurassic Park,1993,Universal Pictures,63000000,47026828,407185075,705953473,1113138548,2 hr 7 min,PG-13
Transformers: Age of Extinction,2014,Paramount Pictures,210000000,100038390,245439076,858614996,1104054072,2 hr 45 min,PG-13
The Dark Knight Rises,2012,Warner Bros.,250000000,160887295,448149584,633020241,1081169825,2 hr 44 min,PG-13
Star Wars: Episode IX - The Rise of Skywalker,2019,Walt Disney Studios Motion Pictures,275000000,177383864,515202542,561819830,1077022372,2 hr 21 min,PG-13
Joker,2019,Warner Bros.,55000000,96202337,335477657,738980625,1074458282,2 hr 2 min,R
Toy Story 4,2019,Walt Disney Studios Motion Pictures,200000000,120908065,434038008,639803386,1073841394,1 hr 40 min,G
Toy Story 3,2010,Walt Disney Studios Motion Pictures,200000000,110307189,415004880,652311221,1067316101,1 hr 43 min,G
Pirates of the Caribbean: Dead Man's Chest,2006,Walt Disney Studios Motion Pictures,225000000,135634554,423315812,642863935,1066179747,2 hr 31 min,PG-13
Rogue One: A Star Wars Story,2016,Walt Disney Studios Motion Pictures,200000000,155081681,533539991,525142151,1058682142,2 hr 13 min,PG-13
Aladdin,2019,Walt Disney Studios Motion Pictures,183000000,91500929,355559216,698744784,1054304000,2 hr 8 min,PG
Pirates of the Caribbean: On Stranger Tides,2011,Walt Disney Studios Motion Pictures,250000000,90151958,241071802,805649464,1046721266,2 hr 17 min,PG-13
Despicable Me 3,2017,Universal Pictures,80000000,72434025,264624300,770175831,1034800131,1 hr 29 min,PG
Finding Dory,2016,Walt Disney Studios Motion Pictures,June 15 2016 (Philippines),135060273,486295561,542971428,1029266989,1 hr 29 min,PG
Star Wars: Episode I - The Phantom Menace,1999,Twentieth Century Fox,115000000,64820970,474544677,552538030,1027082707,2 hr 16 min,PG
Zootopia,2016,Walt Disney Studios Motion Pictures,February 10 2016 (Belgium),75063401,341268248,684253441,1025521689,2 hr 16 min,PG
Alice in Wonderland,2010,Walt Disney Studios Motion Pictures,200000000,116101023,334191110,691277106,1025468216,1 hr 48 min,PG
Harry Potter and the Sorcerer's Stone,2001,Warner Bros.,125000000,90294621,318886962,705155727,1024042690,2 hr 32 min,PG
The Hobbit: An Unexpected Journey,2012,Warner Bros.,December 12 2012 (EMEA APAC),84617303,303030651,714000000,1017030651,2 hr 32 min,PG
The Dark Knight,2008,Warner Bros.,185000000,158411483,534987076,471467753,1006454829,2 hr 32 min,PG-13
Jurassic World Dominion,2022,Universal Pictures,June 1 2022 (South Korea),145075625,376851080,625127000,1001978080,2 hr 32 min,PG-13
Jumanji: Welcome to the Jungle,2017,Sony Pictures Entertainment (SPE),90000000,36169328,404540171,590798946,995339117,1 hr 59 min,PG-13
Harry Potter and the Deathly Hallows: Part 1,2010,Warner Bros.,November 17 2010 (APAC EMEA),125017372,296374621,680695761,977070383,1 hr 59 min,PG-13
Despicable Me 2,2013,Universal Pictures,76000000,83517315,368065385,602700620,970766005,1 hr 38 min,PG
